,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
36,"37,-0.45268294,-0.5582477,0.4527019,1.7568218,-9.642127,-0.33667088,-0.0035951615,-0.005326165,0.0015978495,1.8089739,-9.963714,-0.32841492"
37,"38,-0.45268294,-0.5582477,0.4527019,1.7568218,-9.642127,-0.33667088,-0.0005326165,-0.0026630824,0.00039946238,1.8089739,-9.963714,-0.32841492"
38,"39,-0.45268294,-0.5582477,0.4527019,1.7568218,-9.642127,-0.33667088,-0.0005326165,-0.0026630824,0.00039946238,1.8089739,-9.963714,-0.32841492"
39,"40,-0.45268294,-0.5582477,0.4527019,1.7568218,-9.642127,-0.33667088,-0.0005326165,-0.0026630824,0.00039946238,1.8089739,-9.963714,-0.32841492"
40,"41,-0.45299244,-0.5585367,0.45248052,1.7569855,-9.642189,-0.33403862,-0.0005326165,-0.0026630824,0.00039946238,1.8089739,-9.963714,-0.32841492"
41,"42,-0.45299244,-0.5585367,0.45248052,1.7569855,-9.642189,-0.33403862,-0.0005326165,-0.0026630824,0.00039946238,1.8113668,-9.958329,-0.3505485"
42,"43,-0.45293128,-0.5584662,0.4525376,1.7535615,-9.64262,-0.33954123,-0.005326165,0.0037283157,0.0019973118,1.8113668,-9.957731,-0.357727"
43,"44,-0.45293128,-0.5584662,0.4525376,1.7535615,-9.64262,-0.33954123,-0.005326165,0.0037283157,0.0019973118,1.8113668,-9.957731,-0.357727"
44,"45,-0.45293128,-0.5584662,0.4525376,1.7535615,-9.64262,-0.33954123,-0.005326165,0.0037283157,0.0019973118,1.8113668,-9.957731,-0.357727"
45,"46,-0.45314524,-0.5585438,0.45250553,1.752312,-9.642699,-0.3437423,-0.005326165,0.0037283157,0.0019973118,1.8113668,-9.957731,-0.357727"
46,"47,-0.45314524,-0.5585438,0.45250553,1.752312,-9.642699,-0.3437423,-0.005326165,0.0037283157,0.0019973118,1.8131614,-9.956535,-0.35712877"
47,"48,-0.45314524,-0.5585438,0.45250553,1.752312,-9.642699,-0.3437423,-0.0046603945,-0.0039946237,-0.00039946238,1.8131614,-9.956535,-0.35712877"
