id;Attitude Roll;Attitude Pitch;Attitude Azimuth;Gravity X;Gravity Y;Gravity Z;Rotation Rate X;Rotation Rate Y;Rotation Rate Z;User Acceleration X;User Acceleration Z;User Acceleration Y
1;0.0;0.0;0.0;0.0;0.0;0.0;-0.006391398;0.0;0.0;1.8215362;-0.35353956;-9.950553
2;0.0;0.0;0.0;0.0;0.0;0.0;-0.006391398;0.0;0.0;1.8215362;-0.35353956;-9.950553
3;0.0;0.0;0.0;1.7752963;-9.638616;-0.34030068;-0.006391398;0.0;0.0;1.8173488;-0.37268212;-9.965508
4;0.0;0.0;0.0;1.7752963;-9.638616;-0.34030068;-0.0037283157;-0.0029293909;0.001065233;1.8173488;-0.37268212;-9.965508
5;0.0;0.0;0.0;1.7752963;-9.638616;-0.34030068;-0.0037283157;-0.0029293909;0.001065233;1.8173488;-0.37268212;-9.965508
6;-0.45101133;-0.56030285;0.45332485;1.7617583;-9.640928;-0.3451132;-0.0037283157;-0.0029293909;0.001065233;1.8173488;-0.37268212;-9.965508
7;-0.45101133;-0.56030285;0.45332485;1.7617583;-9.640928;-0.3451132;0.0015978495;-0.0022636203;-0.0011983871;1.7886349;-0.37567315;-9.970892
8;-0.45101133;-0.56030285;0.45332485;1.7617583;-9.640928;-0.3451132;0.0015978495;-0.0022636203;-0.0011983871;1.7886349;-0.37567315;-9.970892
9;-0.45101133;-0.56030285;0.45332485;1.7617583;-9.640928;-0.3451132;0.0015978495;-0.0022636203;-0.0011983871;1.7886349;-0.37567315;-9.970892
10;-0.4514725;-0.5601504;0.4536142;1.7533259;-9.641977;-0.3584734;0.0015978495;-0.0022636203;-0.0011983871;1.7886349;-0.37567315;-9.970892
11;-0.4514725;-0.5601504;0.4536142;1.7533259;-9.641977;-0.3584734;0.0015978495;-0.0022636203;-0.0011983871;1.8143578;-0.33559337;-9.960124
12;-0.4514725;-0.5601504;0.4536142;1.7533259;-9.641977;-0.3584734;0.0067908606;-0.0037283157;-0.00079892477;1.8143578;-0.33559337;-9.960124
13;-0.4514725;-0.5601504;0.4536142;1.7533259;-9.641977;-0.3584734;0.0067908606;-0.0037283157;-0.00079892477;1.8143578;-0.33559337;-9.960124
14;-0.45211762;-0.56023806;0.45342228;1.7539719;-9.642538;-0.33972925;0.0067908606;-0.0037283157;-0.00079892477;1.8143578;-0.33559337;-9.960124
15;-0.45211762;-0.56023806;0.45342228;1.7539719;-9.642538;-0.33972925;0.0067908606;-0.0037283157;-0.00079892477;1.8311075;-0.36430725;-9.954741
16;-0.45211762;-0.56023806;0.45342228;1.7539719;-9.642538;-0.33972925;0.005059857;0.002130466;-0.0005326165;1.8311075;-0.36430725;-9.954741
17;-0.45211762;-0.56023806;0.45342228;1.7539719;-9.642538;-0.33972925;0.005059857;0.002130466;-0.0005326165;1.8311075;-0.36430725;-9.954741
18;-0.4514256;-0.5599431;0.4541014;1.7617971;-9.641168;-0.33814785;0.005059857;0.002130466;-0.0005326165;1.8311075;-0.36430725;-9.954741
19;-0.4514256;-0.5599431;0.4541014;1.7617971;-9.641168;-0.33814785;0.005059857;0.002130466;-0.0005326165;1.8263218;-0.34396824;-9.961321
20;-0.4514256;-0.5599431;0.4541014;1.7617971;-9.641168;-0.33814785;0.001065233;0.015179571;-0.0014646954;1.8263218;-0.34396824;-9.961321
21;-0.4514256;-0.5599431;0.4541014;1.7617971;-9.641168;-0.33814785;0.001065233;0.015179571;-0.0014646954;1.8263218;-0.34396824;-9.961321
22;-0.4514256;-0.5599431;0.4541014;1.7617971;-9.641168;-0.33814785;0.001065233;0.015179571;-0.0014646954;1.8263218;-0.34396824;-9.961321
23;-0.45106167;-0.5601644;0.4540218;1.765231;-9.640787;-0.33102593;0.001065233;0.015179571;-0.0014646954;1.8263218;-0.34396824;-9.961321
24;-0.45106167;-0.5601644;0.4540218;1.765231;-9.640787;-0.33102593;0.0019973118;-0.0037283157;-0.00026630826;1.805983;-0.29910284;-9.96491
25;-0.45106167;-0.5601644;0.4540218;1.765231;-9.640787;-0.33102593;0.0019973118;-0.0037283157;-0.00026630826;1.805983;-0.29910284;-9.96491
26;-0.45106167;-0.5601644;0.4540218;1.765231;-9.640787;-0.33102593;0.0019973118;-0.0037283157;-0.00026630826;1.805983;-0.29910284;-9.96491
27;-0.45106167;-0.5601644;0.4540218;1.765231;-9.640787;-0.33102593;0.0019973118;-0.0037283157;-0.00026630826;1.805983;-0.29910284;-9.96491
28;-0.4526359;-0.5585681;0.45237482;1.7596787;-9.642291;-0.31645542;0.0019973118;-0.0037283157;-0.00026630826;1.8263218;-0.33379877;-9.952946
29;-0.4526359;-0.5585681;0.45237482;1.7596787;-9.642291;-0.31645542;-0.0039946237;0.004394086;0.0017310036;1.8263218;-0.33379877;-9.952946
30;-0.4526359;-0.5585681;0.45237482;1.7596787;-9.642291;-0.31645542;-0.0039946237;0.004394086;0.0017310036;1.8263218;-0.33379877;-9.952946
31;-0.4526359;-0.5585681;0.45237482;1.7596787;-9.642291;-0.31645542;-0.0039946237;0.004394086;0.0017310036;1.8263218;-0.33379877;-9.952946
32;-0.45247763;-0.55803114;0.4528732;1.7623637;-9.641541;-0.32429913;-0.0039946237;0.004394086;0.0017310036;1.8263218;-0.33379877;-9.952946
33;-0.45247763;-0.55803114;0.4528732;1.7623637;-9.641541;-0.32429913;-0.0045272405;-0.0058587817;-0.00013315413;1.8065811;-0.33140594;-9.955936
34;-0.45247763;-0.55803114;0.4528732;1.7623637;-9.641541;-0.32429913;-0.0045272405;-0.0058587817;-0.00013315413;1.8065811;-0.33140594;-9.955936
35;-0.45247763;-0.55803114;0.4528732;1.7623637;-9.641541;-0.32429913;-0.0045272405;-0.0058587817;-0.00013315413;1.8065811;-0.33140594;-9.955936
36;-0.45247763;-0.55803114;0.4528732;1.7623637;-9.641541;-0.32429913;-0.0045272405;-0.0058587817;-0.00013315413;1.8065811;-0.33140594;-9.955936
37;-0.45257136;-0.55831337;0.4526136;1.7587929;-9.642174;-0.32484213;-0.0045272405;-0.0058587817;-0.00013315413;1.8287147;-0.34337005;-9.961321
38;-0.45257136;-0.55831337;0.4526136;1.7587929;-9.642174;-0.32484213;-0.0035951615;-0.005326165;0.0015978495;1.8287147;-0.34337005;-9.961321
39;-0.45257136;-0.55831337;0.4526136;1.7587929;-9.642174;-0.32484213;-0.0035951615;-0.005326165;0.0015978495;1.8287147;-0.34337005;-9.961321
40;-0.45257136;-0.55831337;0.4526136;1.7587929;-9.642174;-0.32484213;-0.0035951615;-0.005326165;0.0015978495;1.8287147;-0.34337005;-9.961321
41;-0.45268294;-0.5582477;0.4527019;1.7568218;-9.642127;-0.33667088;-0.0035951615;-0.005326165;0.0015978495;1.8287147;-0.34337005;-9.961321
42;-0.45268294;-0.5582477;0.4527019;1.7568218;-9.642127;-0.33667088;-0.0035951615;-0.005326165;0.0015978495;1.8089739;-0.32841492;-9.963714
43;-0.45268294;-0.5582477;0.4527019;1.7568218;-9.642127;-0.33667088;-0.0005326165;-0.0026630824;0.00039946238;1.8089739;-0.32841492;-9.963714
44;-0.45268294;-0.5582477;0.4527019;1.7568218;-9.642127;-0.33667088;-0.0005326165;-0.0026630824;0.00039946238;1.8089739;-0.32841492;-9.963714
45;-0.45268294;-0.5582477;0.4527019;1.7568218;-9.642127;-0.33667088;-0.0005326165;-0.0026630824;0.00039946238;1.8089739;-0.32841492;-9.963714
46;-0.45299244;-0.5585367;0.45248052;1.7569855;-9.642189;-0.33403862;-0.0005326165;-0.0026630824;0.00039946238;1.8089739;-0.32841492;-9.963714
47;-0.45299244;-0.5585367;0.45248052;1.7569855;-9.642189;-0.33403862;-0.0005326165;-0.0026630824;0.00039946238;1.8113668;-0.3505485;-9.958329
48;-0.45299244;-0.5585367;0.45248052;1.7569855;-9.642189;-0.33403862;-0.0030625449;-0.0014646954;0.0;1.8113668;-0.3505485;-9.958329
49;-0.45299244;-0.5585367;0.45248052;1.7569855;-9.642189;-0.33403862;-0.0030625449;-0.0014646954;0.0;1.8113668;-0.3505485;-9.958329
50;-0.45299244;-0.5585367;0.45248052;1.7569855;-9.642189;-0.33403862;-0.0030625449;-0.0014646954;0.0;1.8113668;-0.3505485;-9.958329
51;-0.45293128;-0.5584662;0.4525376;1.7535615;-9.64262;-0.33954123;-0.0030625449;-0.0014646954;0.0;1.8113668;-0.3505485;-9.958329
52;-0.45293128;-0.5584662;0.4525376;1.7535615;-9.64262;-0.33954123;-0.0030625449;-0.0014646954;0.0;1.8113668;-0.357727;-9.957731
53;-0.45293128;-0.5584662;0.4525376;1.7535615;-9.64262;-0.33954123;-0.005326165;0.0037283157;0.0019973118;1.8113668;-0.357727;-9.957731
54;-0.45293128;-0.5584662;0.4525376;1.7535615;-9.64262;-0.33954123;-0.005326165;0.0037283157;0.0019973118;1.8113668;-0.357727;-9.957731
55;-0.45293128;-0.5584662;0.4525376;1.7535615;-9.64262;-0.33954123;-0.005326165;0.0037283157;0.0019973118;1.8113668;-0.357727;-9.957731
56;-0.45314524;-0.5585438;0.45250553;1.752312;-9.642699;-0.3437423;-0.005326165;0.0037283157;0.0019973118;1.8113668;-0.357727;-9.957731
57;-0.45314524;-0.5585438;0.45250553;1.752312;-9.642699;-0.3437423;-0.005326165;0.0037283157;0.0019973118;1.8131614;-0.35712877;-9.956535
58;-0.45314524;-0.5585438;0.45250553;1.752312;-9.642699;-0.3437423;-0.0046603945;-0.0039946237;-0.00039946238;1.8131614;-0.35712877;-9.956535
59;-0.45314524;-0.5585438;0.45250553;1.752312;-9.642699;-0.3437423;-0.0046603945;-0.0039946237;-0.00039946238;1.8131614;-0.35712877;-9.956535
60;-0.45314524;-0.5585438;0.45250553;1.752312;-9.642699;-0.3437423;-0.0046603945;-0.0039946237;-0.00039946238;1.8131614;-0.35712877;-9.956535
