id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z
1,0.24057837,-0.64595425,0.71470827,4.863659,-8.500963,0.49883106,0.015445879,-0.0045272405,0.00838871,5.00399,-8.750552,0.48454657
2,0.24057837,-0.64595425,0.71470827,4.863659,-8.500963,0.49883106,0.008788172,0.013315413,0.015579033,5.0386863,-8.733205,0.5132605
3,0.24057837,-0.64595425,0.71470827,4.863659,-8.500963,0.49883106,0.008788172,0.013315413,0.015579033,5.0386863,-8.733205,0.5132605
4,0.24057837,-0.64595425,0.71470827,4.863659,-8.500963,0.49883106,0.008788172,0.013315413,0.015579033,5.0386863,-8.733205,0.5132605
5,0.24225293,-0.64488775,0.7155707,4.839737,-8.513525,0.5169401,0.008788172,0.013315413,0.015579033,5.0386863,-8.733205,0.5132605
6,0.24225293,-0.64488775,0.7155707,4.839737,-8.513525,0.5169401,0.13448566,0.21491076,0.057522584,5.0386863,-8.733205,0.5132605
7,0.24225293,-0.64488775,0.7155707,4.839737,-8.513525,0.5169401,0.13448566,0.21491076,0.057522584,5.1361938,-8.668598,1.1820544
8,0.24225293,-0.64488775,0.7155707,4.839737,-8.513525,0.5169401,0.13448566,0.21491076,0.057522584,5.1361938,-8.668598,1.1820544
9,0.24158256,-0.6444232,0.71643883,4.8145046,-8.491761,0.93856907,0.13448566,0.21491076,0.057522584,5.1361938,-8.668598,1.1820544
10,0.24158256,-0.6444232,0.71643883,4.8145046,-8.491761,0.93856907,-0.0074566314,0.06804176,0.047802333,5.1361938,-8.668598,1.1820544
11,0.24158256,-0.6444232,0.71643883,4.8145046,-8.491761,0.93856907,-0.0074566314,0.06804176,0.047802333,4.657031,-8.877372,0.4671986
12,0.24158256,-0.6444232,0.71643883,4.8145046,-8.491761,0.93856907,-0.0074566314,0.06804176,0.047802333,4.657031,-8.877372,0.4671986
