id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z
1,1.0798982,0.50696313,0.27419895,3.0800061,-9.255244,1.0121276,-0.004524633,-0.0023655845,0.0041818256,0.30077925,-0.78228074,-0.8723848
2,1.0798982,0.50696313,0.27419895,3.0800061,-9.255244,1.0121276,-0.004524633,-0.0023655845,0.0041818256,0.30077925,-0.78228074,-0.8723848
3,1.0936149,0.50795096,0.27577186,3.1000087,-9.238744,1.0981554,-0.004569347,-0.0043553584,-0.0014670456,0.3037945,-0.7781581,-0.8592224
4,1.0936149,0.50795096,0.27577186,3.1000087,-9.238744,1.0981554,-0.004569347,-0.0043553584,-0.0014670456,0.3037945,-0.7781581,-0.8592224
5,1.0936149,0.50795096,0.27577186,3.1000087,-9.238744,1.0981554,-0.004569347,-0.0043553584,-0.0014670456,0.3037945,-0.7781581,-0.8592224
6,1.0936149,0.50795096,0.27577186,3.1000087,-9.238744,1.0981554,-0.004569347,-0.0043553584,-0.0014670456,0.3037945,-0.7781581,-0.8592224
7,1.0936149,0.50795096,0.27577186,3.1000087,-9.238744,1.0981554,-0.004569347,-0.0043553584,-0.0014670456,0.3037945,-0.7781581,-0.8592224
8,1.094339,0.50445527,0.2710475,3.1078553,-9.217827,1.2423016,0.002117528,0.0021675653,-0.0024401078,0.29922506,-0.7779784,-0.85429084
9,1.094339,0.50445527,0.2710475,3.1078553,-9.217827,1.2423016,0.002117528,0.0021675653,-0.0024401078,0.29922506,-0.7779784,-0.85429084
10,1.094339,0.50445527,0.2710475,3.1078553,-9.217827,1.2423016,0.002117528,0.0021675653,-0.0024401078,0.29922506,-0.7779784,-0.85429084
11,1.094339,0.50445527,0.2710475,3.1078553,-9.217827,1.2423016,0.002117528,0.0021675653,-0.0024401078,0.29922506,-0.7779784,-0.85429084
12,1.0901053,0.49777028,0.2622397,3.1005044,-9.190785,1.4445461,-0.0014500117,0.017949484,-0.105445236,0.30189258,-0.77815056,-0.8292817
13,1.0901053,0.49777028,0.2622397,3.1005044,-9.190785,1.4445461,-0.0014500117,0.017949484,-0.105445236,0.30189258,-0.77815056,-0.8292817
14,1.0901053,0.49777028,0.2622397,3.1005044,-9.190785,1.4445461,-0.0014500117,0.017949484,-0.105445236,0.30189258,-0.77815056,-0.8292817
15,1.0901053,0.49777028,0.2622397,3.1005044,-9.190785,1.4445461,-0.0014500117,0.017949484,-0.105445236,0.30189258,-0.77815056,-0.8292817
16,1.0901053,0.49777028,0.2622397,3.1005044,-9.190785,1.4445461,-0.0014500117,0.017949484,-0.105445236,0.30189258,-0.77815056,-0.8292817
17,1.0811251,0.4884423,0.24960905,3.0810869,-9.152142,1.7075148,-0.0023623907,0.030597163,-0.17946929,0.29844886,-0.768354,-0.80833286
18,1.0811251,0.4884423,0.24960905,3.0810869,-9.152142,1.7075148,-0.0023623907,0.030597163,-0.17946929,0.29844886,-0.768354,-0.80833286
