,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
37,"38,1.093107,0.55925655,-2.8256164,3.118786,-9.295947,-0.17011379,-0.052666727,-0.1832029,0.018556317,0.13926168,-0.17140603,-0.3110032"
38,"39,1.093107,0.55925655,-2.8256164,3.118786,-9.295947,-0.17011379,-0.052666727,-0.1832029,0.018556317,0.13926168,-0.17140603,-0.3110032"
39,"40,1.093107,0.55925655,-2.8256164,3.118786,-9.295947,-0.17011379,-0.052666727,-0.1832029,0.018556317,0.13926168,-0.17140603,-0.3110032"
40,"41,1.2669797,0.43824723,-2.8150017,3.1698713,-9.2796545,-0.101580344,-0.02541566,-0.16828227,0.007467241,0.19425678,0.17876823,-0.21615659"
41,"42,1.2669797,0.43824723,-2.8150017,3.1698713,-9.2796545,-0.101580344,-0.02541566,-0.16828227,0.007467241,0.19425678,0.17876823,-0.21615659"
42,"43,1.2669797,0.43824723,-2.8150017,3.1698713,-9.2796545,-0.101580344,-0.02541566,-0.16828227,0.007467241,0.19425678,0.17876823,-0.21615659"
43,"44,1.2669797,0.43824723,-2.8150017,3.1698713,-9.2796545,-0.101580344,-0.02541566,-0.16828227,0.007467241,0.19425678,0.17876823,-0.21615659"
44,"45,1.2669797,0.43824723,-2.8150017,3.1698713,-9.2796545,-0.101580344,-0.02541566,-0.16828227,0.007467241,0.19425678,0.17876823,-0.21615659"
45,"46,1.5409012,0.39690277,-2.8069887,3.2207572,-9.262659,-0.015681809,0.0032204739,-0.14251848,0.0005844761,0.055938367,-0.07478294,-0.3323576"
46,"47,1.5409012,0.39690277,-2.8069887,3.2207572,-9.262659,-0.015681809,0.0032204739,-0.14251848,0.0005844761,0.055938367,-0.07478294,-0.3323576"
47,"48,1.5409012,0.39690277,-2.8069887,3.2207572,-9.262659,-0.015681809,0.0032204739,-0.14251848,0.0005844761,0.055938367,-0.07478294,-0.3323576"
48,"49,1.5409012,0.39690277,-2.8069887,3.2207572,-9.262659,-0.015681809,0.0032204739,-0.14251848,0.0005844761,0.055938367,-0.07478294,-0.3323576"
49,"50,1.5409012,0.39690277,-2.8069887,3.2207572,-9.262659,-0.015681809,0.0032204739,-0.14251848,0.0005844761,0.055938367,-0.07478294,-0.3323576"
50,"51,2.0562496,0.46008804,-2.8033,3.2678483,-9.245996,0.055666387,0.017048817,-0.11204162,-0.0031086889,0.0046055373,-0.04672625,0.19378075"
51,"52,2.0562496,0.46008804,-2.8033,3.2678483,-9.245996,0.055666387,0.017048817,-0.11204162,-0.0031086889,0.0046055373,-0.04672625,0.19378075"
52,"53,2.0562496,0.46008804,-2.8033,3.2678483,-9.245996,0.055666387,0.017048817,-0.11204162,-0.0031086889,0.0046055373,-0.04672625,0.19378075"
53,"54,2.0562496,0.46008804,-2.8033,3.2678483,-9.245996,0.055666387,0.017048817,-0.11204162,-0.0031086889,0.0046055373,-0.04672625,0.19378075"
54,"55,2.849597,0.8126142,-2.8036666,3.3161306,-9.228213,0.11714121,0.0064345603,-0.09090466,-0.006376006,-0.33654562,0.14740343,0.07899499"
55,"56,2.849597,0.8126142,-2.8036666,3.3161306,-9.228213,0.11714121,0.0064345603,-0.09090466,-0.006376006,-0.33654562,0.14740343,0.07899499"
56,"57,2.849597,0.8126142,-2.8036666,3.3161306,-9.228213,0.11714121,0.0064345603,-0.09090466,-0.006376006,-0.33654562,0.14740343,0.07899499"
57,"58,2.849597,0.8126142,-2.8036666,3.3161306,-9.228213,0.11714121,0.0064345603,-0.09090466,-0.006376006,-0.33654562,0.14740343,0.07899499"
58,"59,2.849597,0.8126142,-2.8036666,3.3161306,-9.228213,0.11714121,0.0064345603,-0.09090466,-0.006376006,-0.33654562,0.14740343,0.07899499"
59,"60,-2.9140508,1.914472,-2.8099217,3.3590746,-9.211786,0.17319222,-0.018502021,-0.0868836,-0.013316261,-0.21794938,-0.13695692,-0.09442924"
60,"61,-2.9140508,1.914472,-2.8099217,3.3590746,-9.211786,0.17319222,-0.018502021,-0.0868836,-0.013316261,-0.21794938,-0.13695692,-0.09442924"
61,"62,-2.9140508,1.914472,-2.8099217,3.3590746,-9.211786,0.17319222,-0.018502021,-0.0868836,-0.013316261,-0.21794938,-0.13695692,-0.09442924"
62,"63,-2.9140508,1.914472,-2.8099217,3.3590746,-9.211786,0.17319222,-0.018502021,-0.0868836,-0.013316261,-0.21794938,-0.13695692,-0.09442924"
63,"64,-2.9140508,1.914472,-2.8099217,3.3590746,-9.211786,0.17319222,-0.018502021,-0.0868836,-0.013316261,-0.21794938,-0.13695692,-0.09442924"
64,"65,-2.6920338,2.5222085,-2.8246517,3.4098535,-9.191708,0.23621148,-0.033363044,-0.09509926,-0.02505156,0.20407635,-0.3047739,-0.20661698"
65,"66,-2.6920338,2.5222085,-2.8246517,3.4098535,-9.191708,0.23621148,-0.033363044,-0.09509926,-0.02505156,0.20407635,-0.3047739,-0.20661698"
66,"67,-2.6920338,2.5222085,-2.8246517,3.4098535,-9.191708,0.23621148,-0.033363044,-0.09509926,-0.02505156,0.20407635,-0.3047739,-0.20661698"
67,"68,-2.6920338,2.5222085,-2.8246517,3.4098535,-9.191708,0.23621148,-0.033363044,-0.09509926,-0.02505156,0.20407635,-0.3047739,-0.20661698"
68,"69,-2.6920338,2.5222085,-2.8246517,3.4098535,-9.191708,0.23621148,-0.033363044,-0.09509926,-0.02505156,0.20407635,-0.3047739,-0.20661698"
69,"70,-2.5930235,2.690121,-2.855686,3.4549623,-9.172854,0.30391574,-0.022298455,-0.10345333,-0.03572224,-0.058811955,0.21894203,-0.34712592"
70,"71,-2.5930235,2.690121,-2.855686,3.4549623,-9.172854,0.30391574,-0.022298455,-0.10345333,-0.03572224,-0.058811955,0.21894203,-0.34712592"
71,"72,-2.5930235,2.690121,-2.855686,3.4549623,-9.172854,0.30391574,-0.022298455,-0.10345333,-0.03572224,-0.058811955,0.21894203,-0.34712592"
72,"73,-2.5930235,2.690121,-2.855686,3.4549623,-9.172854,0.30391574,-0.022298455,-0.10345333,-0.03572224,-0.058811955,0.21894203,-0.34712592"
73,"74,-2.5930235,2.690121,-2.855686,3.4549623,-9.172854,0.30391574,-0.022298455,-0.10345333,-0.03572224,-0.058811955,0.21894203,-0.34712592"
74,"75,-2.544748,2.750725,-2.9172287,3.4990726,-9.153328,0.37878665,0.0057989825,-0.10322657,-0.036839027,-0.07725685,-0.019219697,-0.15889157"
75,"76,-2.544748,2.750725,-2.9172287,3.4990726,-9.153328,0.37878665,0.0057989825,-0.10322657,-0.036839027,-0.07725685,-0.019219697,-0.15889157"
76,"77,-2.544748,2.750725,-2.9172287,3.4990726,-9.153328,0.37878665,0.0057989825,-0.10322657,-0.036839027,-0.07725685,-0.019219697,-0.15889157"
77,"78,-2.544748,2.750725,-2.9172287,3.4990726,-9.153328,0.37878665,0.0057989825,-0.10322657,-0.036839027,-0.07725685,-0.019219697,-0.15889157"
78,"79,-2.544748,2.750725,-2.9172287,3.4990726,-9.153328,0.37878665,0.0057989825,-0.10322657,-0.036839027,-0.07725685,-0.019219697,-0.15889157"
79,"80,-2.520763,2.7758539,-3.0439458,3.5371482,-9.135083,0.45742175,0.027791891,-0.09543462,-0.027668396,0.089654595,-0.033467647,0.08097845"
80,"81,-2.520763,2.7758539,-3.0439458,3.5371482,-9.135083,0.45742175,0.027791891,-0.09543462,-0.027668396,0.089654595,-0.033467647,0.08097845"
81,"82,-2.520763,2.7758539,-3.0439458,3.5371482,-9.135083,0.45742175,0.027791891,-0.09543462,-0.027668396,0.089654595,-0.033467647,0.08097845"
82,"83,-2.520763,2.7758539,-3.0439458,3.5371482,-9.135083,0.45742175,0.027791891,-0.09543462,-0.027668396,0.089654595,-0.033467647,0.08097845"
83,"84,-2.520763,2.7758539,-3.0439458,3.5371482,-9.135083,0.45742175,0.027791891,-0.09543462,-0.027668396,0.089654595,-0.033467647,0.08097845"
84,"85,-2.508592,2.7853332,2.9447324,3.5765843,-9.115093,0.5417479,0.030745147,-0.088939376,-0.015822375,-0.18894354,0.14087431,-0.20036542"
85,"86,-2.508592,2.7853332,2.9447324,3.5765843,-9.115093,0.5417479,0.030745147,-0.088939376,-0.015822375,-0.18894354,0.14087431,-0.20036542"
86,"87,-2.508592,2.7853332,2.9447324,3.5765843,-9.115093,0.5417479,0.030745147,-0.088939376,-0.015822375,-0.18894354,0.14087431,-0.20036542"
87,"88,-2.508592,2.7853332,2.9447324,3.5765843,-9.115093,0.5417479,0.030745147,-0.088939376,-0.015822375,-0.18894354,0.14087431,-0.20036542"
88,"89,-2.508592,2.7853332,2.9447324,3.5765843,-9.115093,0.5417479,0.030745147,-0.088939376,-0.015822375,-0.18894354,0.14087431,-0.20036542"
89,"90,-2.508592,2.7853332,2.9447324,3.5765843,-9.115093,0.5417479,0.030745147,-0.088939376,-0.015822375,-0.18894354,0.14087431,-0.20036542"
90,"91,-2.5024555,2.7867372,2.2584317,3.620247,-9.091809,0.6349796,0.021704398,-0.091084585,-0.009368652,-0.11908539,-0.17744315,-0.020021722"
91,"92,-2.5024555,2.7867372,2.2584317,3.620247,-9.091809,0.6349796,0.021704398,-0.091084585,-0.009368652,-0.11908539,-0.17744315,-0.020021722"
92,"93,-2.5024555,2.7867372,2.2584317,3.620247,-9.091809,0.6349796,0.021704398,-0.091084585,-0.009368652,-0.11908539,-0.17744315,-0.020021722"
93,"94,-2.5024555,2.7867372,2.2584317,3.620247,-9.091809,0.6349796,0.021704398,-0.091084585,-0.009368652,-0.11908539,-0.17744315,-0.020021722"
94,"95,-2.5024555,2.7867372,2.2584317,3.620247,-9.091809,0.6349796,0.021704398,-0.091084585,-0.009368652,-0.11908539,-0.17744315,-0.020021722"
95,"96,-2.506377,2.7881358,1.511631,3.6180153,-9.089632,0.6774508,0.014969614,-0.10017218,-0.0034057177,0.18478222,-0.32658416,-0.296358"
96,"97,-2.506377,2.7881358,1.511631,3.6180153,-9.089632,0.6774508,0.014969614,-0.10017218,-0.0034057177,0.18478222,-0.32658416,-0.296358"
97,"98,-2.506377,2.7881358,1.511631,3.6180153,-9.089632,0.6774508,0.014969614,-0.10017218,-0.0034057177,0.18478222,-0.32658416,-0.296358"
98,"99,-2.506377,2.7881358,1.511631,3.6180153,-9.089632,0.6774508,0.014969614,-0.10017218,-0.0034057177,0.18478222,-0.32658416,-0.296358"
99,"100,-2.506377,2.7881358,1.511631,3.6180153,-9.089632,0.6774508,0.014969614,-0.10017218,-0.0034057177,0.18478222,-0.32658416,-0.296358"
100,"101,-2.5126734,2.7874146,1.1313742,3.6117537,-9.089952,0.7059722,0.0151729565,-0.10872427,0.015224058,0.6644483,0.55686975,0.3655035"
101,"102,-2.5126734,2.7874146,1.1313742,3.6117537,-9.089952,0.7059722,0.0151729565,-0.10872427,0.015224058,0.6644483,0.55686975,0.3655035"
102,"103,-2.5126734,2.7874146,1.1313742,3.6117537,-9.089952,0.7059722,0.0151729565,-0.10872427,0.015224058,0.6644483,0.55686975,0.3655035"
103,"104,-2.5126734,2.7874146,1.1313742,3.6117537,-9.089952,0.7059722,0.0151729565,-0.10872427,0.015224058,0.6644483,0.55686975,0.3655035"
104,"105,-2.5126734,2.7874146,1.1313742,3.6117537,-9.089952,0.7059722,0.0151729565,-0.10872427,0.015224058,0.6644483,0.55686975,0.3655035"
105,"106,-2.5126734,2.7874146,1.1313742,3.6117537,-9.089952,0.7059722,0.0151729565,-0.10872427,0.015224058,0.6644483,0.55686975,0.3655035"
106,"107,-2.5190437,2.7844949,0.9457356,3.6124194,-9.088442,0.72182465,0.01184815,-0.11336494,0.048202775,0.12173319,-0.12926471,0.17773116"
107,"108,-2.5190437,2.7844949,0.9457356,3.6124194,-9.088442,0.72182465,0.01184815,-0.11336494,0.048202775,0.12173319,-0.12926471,0.17773116"
