,Gravity X,Gravity Y,Gravity Z,User Acceleration X,User Acceleration Y,User Acceleration Z
0,3.1513271,-9.283993,-0.21681857,-0.041928347,0.0030930738,-0.0023948702
1,3.1513271,-9.283993,-0.21681857,-0.041928347,0.0030930738,-0.0023948702
2,3.1513271,-9.283993,-0.21681857,-0.041928347,0.0030930738,-0.0023948702
3,3.1624002,-9.279145,-0.25897592,-0.09107536,0.009932698,-0.06380161
4,3.1624002,-9.279145,-0.25897592,-0.09107536,0.009932698,-0.06380161
5,3.1624002,-9.279145,-0.25897592,-0.09107536,0.009932698,-0.06380161
6,3.1624002,-9.279145,-0.25897592,-0.09107536,0.009932698,-0.06380161
7,3.187144,-9.269681,-0.2924257,-0.3179667,0.27155045,-0.049639262
8,3.187144,-9.269681,-0.2924257,-0.3179667,0.27155045,-0.049639262
9,3.187144,-9.269681,-0.2924257,-0.3179667,0.27155045,-0.049639262
10,3.187144,-9.269681,-0.2924257,-0.3179667,0.27155045,-0.049639262
11,3.2045481,-9.263135,-0.30918348,0.051357377,0.17996407,-0.1894838
12,3.2045481,-9.263135,-0.30918348,0.051357377,0.17996407,-0.1894838
13,3.2045481,-9.263135,-0.30918348,0.051357377,0.17996407,-0.1894838
14,3.2045481,-9.263135,-0.30918348,0.051357377,0.17996407,-0.1894838
15,3.2081375,-9.261696,-0.31497777,0.18595465,-0.15571173,-0.2881854
16,3.2081375,-9.261696,-0.31497777,0.18595465,-0.15571173,-0.2881854
17,3.2081375,-9.261696,-0.31497777,0.18595465,-0.15571173,-0.2881854
18,3.2081375,-9.261696,-0.31497777,0.18595465,-0.15571173,-0.2881854
19,3.2081375,-9.261696,-0.31497777,0.18595465,-0.15571173,-0.2881854
20,3.235538,-9.253793,-0.26267007,-0.29253277,-0.14904875,-0.64161724
21,3.235538,-9.253793,-0.26267007,-0.29253277,-0.14904875,-0.64161724
22,3.235538,-9.253793,-0.26267007,-0.29253277,-0.14904875,-0.64161724
23,3.235538,-9.253793,-0.26267007,-0.29253277,-0.14904875,-0.64161724
24,3.235538,-9.253793,-0.26267007,-0.29253277,-0.14904875,-0.64161724
25,3.26263,-9.245024,-0.2348766,0.2520356,-0.4337016,0.78260434
26,3.26263,-9.245024,-0.2348766,0.2520356,-0.4337016,0.78260434
27,3.26263,-9.245024,-0.2348766,0.2520356,-0.4337016,0.78260434
28,3.26263,-9.245024,-0.2348766,0.2520356,-0.4337016,0.78260434
29,3.26263,-9.245024,-0.2348766,0.2520356,-0.4337016,0.78260434
30,3.2914407,-9.2354,-0.21021986,-0.19458069,0.006093988,0.16228414
31,3.2914407,-9.2354,-0.21021986,-0.19458069,0.006093988,0.16228414
32,3.2914407,-9.2354,-0.21021986,-0.19458069,0.006093988,0.16228414
33,3.2914407,-9.2354,-0.21021986,-0.19458069,0.006093988,0.16228414
34,3.2914407,-9.2354,-0.21021986,-0.19458069,0.006093988,0.16228414
35,3.3147905,-9.227531,-0.18766157,-0.15071075,0.023980096,0.026447352
36,3.3147905,-9.227531,-0.18766157,-0.15071075,0.023980096,0.026447352
