,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,0.88897544,1.5229112,-2.8197527,3.247648,-9.246017,-0.36651552,0.0036601617,0.0010124531,0.0018311455,-0.026740452,0.04308459,0.0013819558"
1,"2,0.88897544,1.5229112,-2.8197527,3.247648,-9.246017,-0.36651552,0.0036601617,0.0010124531,0.0018311455,-0.026740452,0.04308459,0.0013819558"
2,"3,0.88897544,1.5229112,-2.8197527,3.247648,-9.246017,-0.36651552,0.0036601617,0.0010124531,0.0018311455,-0.026740452,0.04308459,0.0013819558"
3,"4,0.88897544,1.5229112,-2.8197527,3.2439475,-9.247085,-0.3723166,0.002417751,-0.0027999491,0.004112625,0.0046097417,0.08300116,0.012505352"
4,"5,0.88897544,1.5229112,-2.8197527,3.2439475,-9.247085,-0.3723166,0.002417751,-0.0027999491,0.004112625,0.0046097417,0.08300116,0.012505352"
5,"6,0.88897544,1.5229112,-2.8197527,3.2439475,-9.247085,-0.3723166,0.002417751,-0.0027999491,0.004112625,0.0046097417,0.08300116,0.012505352"
6,"7,0.88897544,1.5229112,-2.8197527,3.2439475,-9.247085,-0.3723166,0.002417751,-0.0027999491,0.004112625,0.0046097417,0.08300116,0.012505352"
7,"8,0.87342066,1.4602723,-2.837905,3.2420094,-9.2475605,-0.3773536,0.0024805635,-0.002294255,-0.0038347594,-0.06880495,0.029748222,0.0012533836"
8,"9,0.87342066,1.4602723,-2.837905,3.2420094,-9.2475605,-0.3773536,0.0024805635,-0.002294255,-0.0038347594,-0.06880495,0.029748222,0.0012533836"
9,"10,0.87342066,1.4602723,-2.837905,3.2420094,-9.2475605,-0.3773536,0.0024805635,-0.002294255,-0.0038347594,-0.06880495,0.029748222,0.0012533836"
10,"11,0.87342066,1.4602723,-2.837905,3.2420094,-9.2475605,-0.3773536,0.0024805635,-0.002294255,-0.0038347594,-0.06880495,0.029748222,0.0012533836"
11,"12,0.87342066,1.4602723,-2.837905,3.2432964,-9.2468815,-0.38289136,0.004835502,0.001563926,-0.0041285944,-0.014493078,-0.012648482,-0.003704143"
12,"13,0.87342066,1.4602723,-2.837905,3.2432964,-9.2468815,-0.38289136,0.004835502,0.001563926,-0.0041285944,-0.014493078,-0.012648482,-0.003704143"
13,"14,0.87342066,1.4602723,-2.837905,3.2432964,-9.2468815,-0.38289136,0.004835502,0.001563926,-0.0041285944,-0.014493078,-0.012648482,-0.003704143"
14,"15,0.87342066,1.4602723,-2.837905,3.2432964,-9.2468815,-0.38289136,0.004835502,0.001563926,-0.0041285944,-0.014493078,-0.012648482,-0.003704143"
15,"16,0.87342066,1.4602723,-2.837905,3.2507482,-9.244167,-0.38520753,0.00056211906,-0.0047492674,-0.003933769,-0.054246932,0.018379373,-0.00882139"
16,"17,0.87342066,1.4602723,-2.837905,3.2507482,-9.244167,-0.38520753,0.00056211906,-0.0047492674,-0.003933769,-0.054246932,0.018379373,-0.00882139"
17,"18,0.87342066,1.4602723,-2.837905,3.2507482,-9.244167,-0.38520753,0.00056211906,-0.0047492674,-0.003933769,-0.054246932,0.018379373,-0.00882139"
18,"19,0.87342066,1.4602723,-2.837905,3.2507482,-9.244167,-0.38520753,0.00056211906,-0.0047492674,-0.003933769,-0.054246932,0.018379373,-0.00882139"
19,"20,0.87342066,1.4602723,-2.837905,3.2507482,-9.244167,-0.38520753,0.00056211906,-0.0047492674,-0.003933769,-0.054246932,0.018379373,-0.00882139"
20,"21,0.87342066,1.4602723,-2.837905,3.2649207,-9.23918,-0.38502392,-0.0017257482,-0.001242411,0.0010422624,-0.30174044,0.088199995,-0.07567431"
21,"22,0.87342066,1.4602723,-2.837905,3.2649207,-9.23918,-0.38502392,-0.0017257482,-0.001242411,0.0010422624,-0.30174044,0.088199995,-0.07567431"
22,"23,0.87342066,1.4602723,-2.837905,3.2649207,-9.23918,-0.38502392,-0.0017257482,-0.001242411,0.0010422624,-0.30174044,0.088199995,-0.07567431"
23,"24,0.87342066,1.4602723,-2.837905,3.2649207,-9.23918,-0.38502392,-0.0017257482,-0.001242411,0.0010422624,-0.30174044,0.088199995,-0.07567431"
24,"25,0.87342066,1.4602723,-2.837905,3.2649207,-9.23918,-0.38502392,-0.0017257482,-0.001242411,0.0010422624,-0.30174044,0.088199995,-0.07567431"
25,"26,0.87342066,1.4602723,-2.837905,3.2803533,-9.234004,-0.37792403,-0.00012668972,0.0014329778,-0.0036729372,0.0132019725,0.18586227,-0.027115386"
26,"27,0.87342066,1.4602723,-2.837905,3.2803533,-9.234004,-0.37792403,-0.00012668972,0.0014329778,-0.0036729372,0.0132019725,0.18586227,-0.027115386"
27,"28,0.87342066,1.4602723,-2.837905,3.2803533,-9.234004,-0.37792403,-0.00012668972,0.0014329778,-0.0036729372,0.0132019725,0.18586227,-0.027115386"
28,"29,0.87342066,1.4602723,-2.837905,3.2803533,-9.234004,-0.37792403,-0.00012668972,0.0014329778,-0.0036729372,0.0132019725,0.18586227,-0.027115386"
29,"30,0.87342066,1.4602723,-2.837905,3.2803533,-9.234004,-0.37792403,-0.00012668972,0.0014329778,-0.0036729372,0.0132019725,0.18586227,-0.027115386"
30,"31,0.87342066,1.4602723,-2.837905,3.2876258,-9.232222,-0.3577201,-0.0013169342,-0.0018396624,0.0030959134,0.03981335,-0.12342033,-0.12804794"
31,"32,0.87342066,1.4602723,-2.837905,3.2876258,-9.232222,-0.3577201,-0.0013169342,-0.0018396624,0.0030959134,0.03981335,-0.12342033,-0.12804794"
32,"33,0.87342066,1.4602723,-2.837905,3.2876258,-9.232222,-0.3577201,-0.0013169342,-0.0018396624,0.0030959134,0.03981335,-0.12342033,-0.12804794"
33,"34,0.87342066,1.4602723,-2.837905,3.2876258,-9.232222,-0.3577201,-0.0013169342,-0.0018396624,0.0030959134,0.03981335,-0.12342033,-0.12804794"
34,"35,0.87342066,1.4602723,-2.837905,3.2876258,-9.232222,-0.3577201,-0.0013169342,-0.0018396624,0.0030959134,0.03981335,-0.12342033,-0.12804794"
35,"36,0.87342066,1.4602723,-2.837905,3.313708,-9.224849,-0.30313197,-0.0025167605,0.0019706106,-0.004753526,-0.12251047,0.037920754,-0.59351355"
36,"37,0.87342066,1.4602723,-2.837905,3.313708,-9.224849,-0.30313197,-0.0025167605,0.0019706106,-0.004753526,-0.12251047,0.037920754,-0.59351355"
