id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z
1,-0.3441283,-2.9398215,-1.8139544,-1.9835706,-9.108812,3.0439055,-0.08641703,-0.34473604,0.28401774,-0.04423125,-0.07470876,-0.016774558
2,-0.3441283,-2.9398215,-1.8139544,-1.9835706,-9.108812,3.0439055,-0.7491251,-0.15126309,0.15246147,-0.04423125,-0.07470876,-0.016774558
3,-0.3441283,-2.9398215,-1.8139544,-1.9835706,-9.108812,3.0439055,-0.7491251,-0.15126309,0.15246147,-0.04423125,-0.07470876,-0.016774558
4,-0.3441283,-2.9398215,-1.8139544,-1.9835706,-9.108812,3.0439055,-0.7491251,-0.15126309,0.15246147,-0.04423125,-0.07470876,-0.016774558
5,-0.32120967,-2.9205651,-2.078385,-2.0924678,-9.0687895,3.0901484,-0.7491251,-0.15126309,0.15246147,-0.02942807,-0.11492529,-0.2681761
6,-0.32120967,-2.9205651,-2.078385,-2.0924678,-9.0687895,3.0901484,-0.7613753,0.70691526,-0.07909355,-0.02942807,-0.11492529,-0.2681761
7,-0.32120967,-2.9205651,-2.078385,-2.0924678,-9.0687895,3.0901484,-0.7613753,0.70691526,-0.07909355,-0.02942807,-0.11492529,-0.2681761
8,-0.32120967,-2.9205651,-2.078385,-2.0924678,-9.0687895,3.0901484,-0.7613753,0.70691526,-0.07909355,-0.02942807,-0.11492529,-0.2681761
9,-0.39794692,-2.902489,-2.675428,-2.232133,-9.46034,1.2999783,-0.7613753,0.70691526,-0.07909355,0.01684866,0.08590865,0.012274449
10,-0.39794692,-2.902489,-2.675428,-2.232133,-9.46034,1.2999783,-0.16417904,0.72755414,0.145138,0.01684866,0.08590865,0.012274449
11,-0.39794692,-2.902489,-2.675428,-2.232133,-9.46034,1.2999783,-0.16417904,0.72755414,0.145138,0.01684866,0.08590865,0.012274449
12,-0.39794692,-2.902489,-2.675428,-2.232133,-9.46034,1.2999783,-0.16417904,0.72755414,0.145138,0.01684866,0.08590865,0.012274449
13,-0.49697003,-2.8714247,-2.5791023,-2.6900492,-9.411617,0.5962284,-0.16417904,0.72755414,0.145138,0.015811525,-0.034221645,0.021392845
14,-0.49697003,-2.8714247,-2.5791023,-2.6900492,-9.411617,0.5962284,-0.16417904,0.72755414,0.145138,0.015811525,-0.034221645,0.021392845
15,-0.49697003,-2.8714247,-2.5791023,-2.6900492,-9.411617,0.5962284,-0.074300006,0.8877386,-0.19626918,0.015811525,-0.034221645,0.021392845
16,-0.49697003,-2.8714247,-2.5791023,-2.6900492,-9.411617,0.5962284,-0.074300006,0.8877386,-0.19626918,0.015811525,-0.034221645,0.021392845
17,-0.49697003,-2.8714247,-2.5791023,-2.6900492,-9.411617,0.5962284,-0.074300006,0.8877386,-0.19626918,0.015811525,-0.034221645,0.021392845
18,-0.4800906,-2.8866477,-0.42417875,-2.531168,-9.473584,0.12155493,-0.074300006,0.8877386,-0.19626918,0.07608289,-0.05015199,-0.06237202
19,-0.4800906,-2.8866477,-0.42417875,-2.531168,-9.473584,0.12155493,1.700245,-0.16511112,0.30412403,0.07608289,-0.05015199,-0.06237202
20,-0.4800906,-2.8866477,-0.42417875,-2.531168,-9.473584,0.12155493,1.700245,-0.16511112,0.30412403,0.07608289,-0.05015199,-0.06237202
21,-0.4800906,-2.8866477,-0.42417875,-2.531168,-9.473584,0.12155493,1.700245,-0.16511112,0.30412403,0.07608289,-0.05015199,-0.06237202
22,-0.60894704,-2.8434222,-1.1898931,-2.8910358,-8.883332,2.9830718,1.700245,-0.16511112,0.30412403,-0.00785306,0.24509856,0.16361165
23,-0.60894704,-2.8434222,-1.1898931,-2.8910358,-8.883332,2.9830718,1.700245,-0.16511112,0.30412403,-0.00785306,0.24509856,0.16361165
24,-0.60894704,-2.8434222,-1.1898931,-2.8910358,-8.883332,2.9830718,0.63328105,-0.84313196,0.3013278,-0.00785306,0.24509856,0.16361165
25,-0.60894704,-2.8434222,-1.1898931,-2.8910358,-8.883332,2.9830718,0.63328105,-0.84313196,0.3013278,-0.00785306,0.24509856,0.16361165
26,-0.60894704,-2.8434222,-1.1898931,-2.8910358,-8.883332,2.9830718,0.63328105,-0.84313196,0.3013278,-0.00785306,0.24509856,0.16361165
27,-0.61481375,-2.8609023,-1.2531533,-2.6880088,-8.454309,4.1796694,0.63328105,-0.84313196,0.3013278,-0.066879176,0.042695053,0.32651135
28,-0.61481375,-2.8609023,-1.2531533,-2.6880088,-8.454309,4.1796694,-0.8443303,-0.15752134,-0.03195699,-0.066879176,0.042695053,0.32651135
29,-0.61481375,-2.8609023,-1.2531533,-2.6880088,-8.454309,4.1796694,-0.8443303,-0.15752134,-0.03195699,-0.066879176,0.042695053,0.32651135
30,-0.61481375,-2.8609023,-1.2531533,-2.6880088,-8.454309,4.1796694,-0.8443303,-0.15752134,-0.03195699,-0.066879176,0.042695053,0.32651135
31,-0.61481375,-2.8609023,-1.2531533,-2.6880088,-8.454309,4.1796694,-0.8443303,-0.15752134,-0.03195699,-0.066879176,0.042695053,0.32651135
32,-0.50368786,-2.89217,-1.3781116,-2.476347,-8.983268,3.0559776,-0.8443303,-0.15752134,-0.03195699,-0.030988678,-0.11754657,-0.20221181
33,-0.50368786,-2.89217,-1.3781116,-2.476347,-8.983268,3.0559776,-0.6749583,0.3318201,-0.3387441,-0.030988678,-0.11754657,-0.20221181
34,-0.50368786,-2.89217,-1.3781116,-2.476347,-8.983268,3.0559776,-0.6749583,0.3318201,-0.3387441,-0.030988678,-0.11754657,-0.20221181
35,-0.50368786,-2.89217,-1.3781116,-2.476347,-8.983268,3.0559776,-0.6749583,0.3318201,-0.3387441,-0.030988678,-0.11754657,-0.20221181
36,-0.50368786,-2.89217,-1.3781116,-2.476347,-8.983268,3.0559776,-0.6749583,0.3318201,-0.3387441,-0.030988678,-0.11754657,-0.20221181
