,Gravity X,Gravity Y,Gravity Z,User Acceleration X,User Acceleration Y,User Acceleration Z
0,2.7478423,-9.411865,-0.19114612,0.0043141367,0.026666716,-0.3131472
1,2.7478423,-9.411865,-0.19114612,0.0043141367,0.026666716,-0.3131472
2,2.7478423,-9.411865,-0.19114612,0.0043141367,0.026666716,-0.3131472
3,2.802586,-9.396373,-0.15522614,-0.05307219,-0.14845136,-0.30265203
4,2.802586,-9.396373,-0.15522614,-0.05307219,-0.14845136,-0.30265203
5,2.802586,-9.396373,-0.15522614,-0.05307219,-0.14845136,-0.30265203
6,2.802586,-9.396373,-0.15522614,-0.05307219,-0.14845136,-0.30265203
7,2.856155,-9.380389,-0.14509681,-0.15255609,0.014255632,-0.56178427
8,2.856155,-9.380389,-0.14509681,-0.15255609,0.014255632,-0.56178427
9,2.856155,-9.380389,-0.14509681,-0.15255609,0.014255632,-0.56178427
10,2.856155,-9.380389,-0.14509681,-0.15255609,0.014255632,-0.56178427
11,2.9088254,-9.36413,-0.14898777,-0.2521316,0.09840431,0.45797762
12,2.9088254,-9.36413,-0.14898777,-0.2521316,0.09840431,0.45797762
13,2.9088254,-9.36413,-0.14898777,-0.2521316,0.09840431,0.45797762
14,2.9088254,-9.36413,-0.14898777,-0.2521316,0.09840431,0.45797762
15,2.9413662,-9.353527,-0.1740133,-0.14728673,-0.034746215,0.12497333
16,2.9413662,-9.353527,-0.1740133,-0.14728673,-0.034746215,0.12497333
17,2.9413662,-9.353527,-0.1740133,-0.14728673,-0.034746215,0.12497333
18,2.9413662,-9.353527,-0.1740133,-0.14728673,-0.034746215,0.12497333
19,2.9413662,-9.353527,-0.1740133,-0.14728673,-0.034746215,0.12497333
20,2.9922967,-9.337251,-0.1797409,-0.19969249,-0.028205913,0.06435143
21,2.9922967,-9.337251,-0.1797409,-0.19969249,-0.028205913,0.06435143
22,2.9922967,-9.337251,-0.1797409,-0.19969249,-0.028205913,0.06435143
23,2.9922967,-9.337251,-0.1797409,-0.19969249,-0.028205913,0.06435143
24,2.9922967,-9.337251,-0.1797409,-0.19969249,-0.028205913,0.06435143
25,3.0437334,-9.320379,-0.19128284,-0.071444444,0.011586802,0.088556826
26,3.0437334,-9.320379,-0.19128284,-0.071444444,0.011586802,0.088556826
27,3.0437334,-9.320379,-0.19128284,-0.071444444,0.011586802,0.088556826
28,3.0437334,-9.320379,-0.19128284,-0.071444444,0.011586802,0.088556826
29,3.0437334,-9.320379,-0.19128284,-0.071444444,0.011586802,0.088556826
30,3.0745382,-9.3098955,-0.208439,-0.08587643,-0.100098856,-0.10258032
31,3.0745382,-9.3098955,-0.208439,-0.08587643,-0.100098856,-0.10258032
