,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,-1.0460707,0.1021622,-0.2934279,0.8284095,-0.33908483,9.765713,-0.0010113885,0.0029873222,0.0035238904,-0.10446238,0.34186232,0.08191809"
1,"2,-1.0460707,0.1021622,-0.2934279,0.8284095,-0.33908483,9.765713,-0.0010113885,0.0029873222,0.0035238904,-0.10446238,0.34186232,0.08191809"
2,"3,-1.0460707,0.1021622,-0.2934279,0.8409915,-0.37770182,9.76322,0.0024784342,0.002789303,0.0029575129,-0.09292941,0.34183073,0.078247175"
3,"4,-1.0460707,0.1021622,-0.2934279,0.8409915,-0.37770182,9.76322,0.0024784342,0.002789303,0.0029575129,-0.09292941,0.34183073,0.078247175"
4,"5,-1.0460707,0.1021622,-0.2934279,0.8409915,-0.37770182,9.76322,0.0024784342,0.002789303,0.0029575129,-0.09292941,0.34183073,0.078247175"
5,"6,-1.0460707,0.1021622,-0.2934279,0.8409915,-0.37770182,9.76322,0.0024784342,0.002789303,0.0029575129,-0.09292941,0.34183073,0.078247175"
6,"7,-1.0416129,0.107415885,-0.29620034,0.8591497,-0.4356808,9.759223,0.0014819503,0.0013478083,0.0042339917,-0.1071862,0.32811072,0.08613769"
7,"8,-1.0416129,0.107415885,-0.29620034,0.8591497,-0.4356808,9.759223,0.0014819503,0.0013478083,0.0042339917,-0.1071862,0.32811072,0.08613769"
8,"9,-1.0416129,0.107415885,-0.29620034,0.8591497,-0.4356808,9.759223,0.0014819503,0.0013478083,0.0042339917,-0.1071862,0.32811072,0.08613769"
9,"10,-1.0416129,0.107415885,-0.29620034,0.8591497,-0.4356808,9.759223,0.0014819503,0.0013478083,0.0042339917,-0.1071862,0.32811072,0.08613769"
10,"11,-1.0387204,0.110655814,-0.2967446,0.88279223,-0.5130974,9.753348,0.004067911,-0.00015756369,0.00201426,-0.10721672,0.31729046,0.08163393"
11,"12,-1.0387204,0.110655814,-0.2967446,0.88279223,-0.5130974,9.753348,0.004067911,-0.00015756369,0.00201426,-0.10721672,0.31729046,0.08163393"
12,"13,-1.0387204,0.110655814,-0.2967446,0.88279223,-0.5130974,9.753348,0.004067911,-0.00015756369,0.00201426,-0.10721672,0.31729046,0.08163393"
13,"14,-1.0387204,0.110655814,-0.2967446,0.88279223,-0.5130974,9.753348,0.004067911,-0.00015756369,0.00201426,-0.10721672,0.31729046,0.08163393"
14,"15,-1.0349526,0.114756145,-0.29701287,0.91291636,-0.6099142,9.744998,0.0006025746,-0.0027850445,0.002349615,-0.06997797,0.30937368,0.068579875"
15,"16,-1.0349526,0.114756145,-0.29701287,0.91291636,-0.6099142,9.744998,0.0006025746,-0.0027850445,0.002349615,-0.06997797,0.30937368,0.068579875"
16,"17,-1.0349526,0.114756145,-0.29701287,0.91291636,-0.6099142,9.744998,0.0006025746,-0.0027850445,0.002349615,-0.06997797,0.30937368,0.068579875"
17,"18,-1.0349526,0.114756145,-0.29701287,0.91291636,-0.6099142,9.744998,0.0006025746,-0.0027850445,0.002349615,-0.06997797,0.30937368,0.068579875"
18,"19,-1.0349526,0.114756145,-0.29701287,0.91291636,-0.6099142,9.744998,0.0006025746,-0.0027850445,0.002349615,-0.06997797,0.30937368,0.068579875"
19,"20,-1.0302979,0.1195325,-0.29704016,0.947942,-0.7256581,9.733715,0.0018630842,-0.004775883,0.003494081,-0.09178951,0.30880174,0.08402561"
20,"21,-1.0302979,0.1195325,-0.29704016,0.947942,-0.7256581,9.733715,0.0018630842,-0.004775883,0.003494081,-0.09178951,0.30880174,0.08402561"
21,"22,-1.0302979,0.1195325,-0.29704016,0.947942,-0.7256581,9.733715,0.0018630842,-0.004775883,0.003494081,-0.09178951,0.30880174,0.08402561"
22,"23,-1.0302979,0.1195325,-0.29704016,0.947942,-0.7256581,9.733715,0.0018630842,-0.004775883,0.003494081,-0.09178951,0.30880174,0.08402561"
23,"24,-1.0302979,0.1195325,-0.29704016,0.947942,-0.7256581,9.733715,0.0018630842,-0.004775883,0.003494081,-0.09178951,0.30880174,0.08402561"
24,"25,-1.0254637,0.12418156,-0.2967178,0.98201936,-0.84168583,9.720986,-0.0018460501,0.004235056,0.00052592205,-0.10344731,0.29355747,0.090049796"
25,"26,-1.0254637,0.12418156,-0.2967178,0.98201936,-0.84168583,9.720986,-0.0018460501,0.004235056,0.00052592205,-0.10344731,0.29355747,0.090049796"
26,"27,-1.0254637,0.12418156,-0.2967178,0.98201936,-0.84168583,9.720986,-0.0018460501,0.004235056,0.00052592205,-0.10344731,0.29355747,0.090049796"
27,"28,-1.0254637,0.12418156,-0.2967178,0.98201936,-0.84168583,9.720986,-0.0018460501,0.004235056,0.00052592205,-0.10344731,0.29355747,0.090049796"
28,"29,-1.0254637,0.12418156,-0.2967178,0.98201936,-0.84168583,9.720986,-0.0018460501,0.004235056,0.00052592205,-0.10344731,0.29355747,0.090049796"
29,"30,-1.0204386,0.12871762,-0.2963,1.0149778,-0.9576962,9.706855,-0.006496308,0.0202991,-0.033727147,-0.06787209,0.26904076,0.06420357"
30,"31,-1.0204386,0.12871762,-0.2963,1.0149778,-0.9576962,9.706855,-0.006496308,0.0202991,-0.033727147,-0.06787209,0.26904076,0.06420357"
31,"32,-1.0204386,0.12871762,-0.2963,1.0149778,-0.9576962,9.706855,-0.006496308,0.0202991,-0.033727147,-0.06787209,0.26904076,0.06420357"
32,"33,-1.0204386,0.12871762,-0.2963,1.0149778,-0.9576962,9.706855,-0.006496308,0.0202991,-0.033727147,-0.06787209,0.26904076,0.06420357"
33,"34,-1.0204386,0.12871762,-0.2963,1.0149778,-0.9576962,9.706855,-0.006496308,0.0202991,-0.033727147,-0.06787209,0.26904076,0.06420357"
34,"35,-1.015129,0.1333011,-0.29575267,1.0480678,-1.0737427,9.691182,-0.0051442413,0.018473277,-0.02951551,-0.06693957,0.27380723,0.08164239"
35,"36,-1.015129,0.1333011,-0.29575267,1.0480678,-1.0737427,9.691182,-0.0051442413,0.018473277,-0.02951551,-0.06693957,0.27380723,0.08164239"
36,"37,-1.015129,0.1333011,-0.29575267,1.0480678,-1.0737427,9.691182,-0.0051442413,0.018473277,-0.02951551,-0.06693957,0.27380723,0.08164239"
37,"38,-1.015129,0.1333011,-0.29575267,1.0480678,-1.0737427,9.691182,-0.0051442413,0.018473277,-0.02951551,-0.06693957,0.27380723,0.08164239"
38,"39,-1.0097293,0.13769579,-0.29499394,1.0797135,-1.1871296,9.674468,-0.0036548388,0.015974615,-0.024473473,-0.06713051,0.24516496,0.07993861"
39,"40,-1.0097293,0.13769579,-0.29499394,1.0797135,-1.1871296,9.674468,-0.0036548388,0.015974615,-0.024473473,-0.06713051,0.24516496,0.07993861"
40,"41,-1.0097293,0.13769579,-0.29499394,1.0797135,-1.1871296,9.674468,-0.0036548388,0.015974615,-0.024473473,-0.06713051,0.24516496,0.07993861"
