,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
36,"37,2.0994263,-0.08451388,0.3336454,-0.593101,-3.8936508,8.980986,0.0039774184,-0.0037176511,0.0030299071,0.0015240621,0.011248666,-2.6928417e-05"
37,"38,2.0994263,-0.08451388,0.3336454,-0.593101,-3.8936508,8.980986,0.0039774184,-0.0037176511,0.0030299071,0.0015240621,0.011248666,-2.6928417e-05"
38,"39,2.0994263,-0.08451388,0.3336454,-0.593101,-3.8936508,8.980986,0.0039774184,-0.0037176511,0.0030299071,0.0015240621,0.011248666,-2.6928417e-05"
39,"40,2.0994263,-0.08451388,0.3336454,-0.593101,-3.8936508,8.980986,0.0039774184,-0.0037176511,0.0030299071,0.0015240621,0.011248666,-2.6928417e-05"
40,"41,2.0985696,-0.08495786,0.32189134,-0.609257,-3.896104,8.97884,0.004269124,0.0043777153,0.0049653854,0.015008716,0.021248976,0.0036592511"
41,"42,2.0985696,-0.08495786,0.32189134,-0.609257,-3.896104,8.97884,0.004269124,0.0043777153,0.0049653854,0.015008716,0.021248976,0.0036592511"
42,"43,2.0985696,-0.08495786,0.32189134,-0.609257,-3.896104,8.97884,0.004269124,0.0043777153,0.0049653854,0.015008716,0.021248976,0.0036592511"
43,"44,2.0985696,-0.08495786,0.32189134,-0.609257,-3.896104,8.97884,0.004269124,0.0043777153,0.0049653854,0.015008716,0.021248976,0.0036592511"
44,"45,2.0985696,-0.08495786,0.32189134,-0.609257,-3.896104,8.97884,0.004269124,0.0043777153,0.0049653854,0.015008716,0.021248976,0.0036592511"
45,"46,2.0979462,-0.084457405,0.3097219,-0.61905926,-3.9011269,8.975987,-0.0011742753,-0.0018598902,-0.002173953,0.016938187,0.023177542,0.010202079"
46,"47,2.0979462,-0.084457405,0.3097219,-0.61905926,-3.9011269,8.975987,-0.0011742753,-0.0018598902,-0.002173953,0.016938187,0.023177542,0.010202079"
47,"48,2.0979462,-0.084457405,0.3097219,-0.61905926,-3.9011269,8.975987,-0.0011742753,-0.0018598902,-0.002173953,0.016938187,0.023177542,0.010202079"
48,"49,2.0979462,-0.084457405,0.3097219,-0.61905926,-3.9011269,8.975987,-0.0011742753,-0.0018598902,-0.002173953,0.016938187,0.023177542,0.010202079"
49,"50,2.0979462,-0.084457405,0.3097219,-0.61905926,-3.9011269,8.975987,-0.0011742753,-0.0018598902,-0.002173953,0.016938187,0.023177542,0.010202079"
50,"51,2.0976057,-0.08353652,0.2957557,-0.6271323,-3.9115713,8.9708805,0.0038624394,-0.0041605327,-0.0011519183,0.01269845,0.023089102,0.006752811"
51,"52,2.0976057,-0.08353652,0.2957557,-0.6271323,-3.9115713,8.9708805,0.0038624394,-0.0041605327,-0.0011519183,0.01269845,0.023089102,0.006752811"
