,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,-2.5247757,2.748104,0.88379055,3.824575,-8.947293,1.2202317,0.004691778,0.001938672,-0.00036197063,-0.019182365,0.14333588,-0.24151674"
1,"2,-2.5247757,2.748104,0.88379055,3.824575,-8.947293,1.2202317,0.004691778,0.001938672,-0.00036197063,-0.019182365,0.14333588,-0.24151674"
2,"3,-2.5247757,2.748104,0.88379055,3.824575,-8.947293,1.2202317,0.004691778,0.001938672,-0.00036197063,-0.019182365,0.14333588,-0.24151674"
3,"4,-2.5262127,2.7539568,0.9001021,3.8048859,-8.955731,1.2198757,-0.0047663013,0.004284029,0.0018992812,-0.06658401,-0.02494738,-0.10146427"
4,"5,-2.5262127,2.7539568,0.9001021,3.8048859,-8.955731,1.2198757,-0.0047663013,0.004284029,0.0018992812,-0.06658401,-0.02494738,-0.10146427"
5,"6,-2.5262127,2.7539568,0.9001021,3.8048859,-8.955731,1.2198757,-0.0047663013,0.004284029,0.0018992812,-0.06658401,-0.02494738,-0.10146427"
6,"7,-2.5262127,2.7539568,0.9001021,3.8048859,-8.955731,1.2198757,-0.0047663013,0.004284029,0.0018992812,-0.06658401,-0.02494738,-0.10146427"
7,"8,-2.5262127,2.7539568,0.9001021,3.7936907,-8.9582405,1.2362077,0.00014372364,0.0018098531,0.004347906,0.08895941,-0.35809702,-0.26868695"
8,"9,-2.5262127,2.7539568,0.9001021,3.7936907,-8.9582405,1.2362077,0.00014372364,0.0018098531,0.004347906,0.08895941,-0.35809702,-0.26868695"
9,"10,-2.5262127,2.7539568,0.9001021,3.7936907,-8.9582405,1.2362077,0.00014372364,0.0018098531,0.004347906,0.08895941,-0.35809702,-0.26868695"
10,"11,-2.5262127,2.7539568,0.9001021,3.7936907,-8.9582405,1.2362077,0.00014372364,0.0018098531,0.004347906,0.08895941,-0.35809702,-0.26868695"
11,"12,-2.5258636,2.7584028,0.9338567,3.7827623,-8.959292,1.2618159,0.052348405,-0.026067208,-0.0017342651,0.0131639615,-0.4421599,-0.4549767"
12,"13,-2.5258636,2.7584028,0.9338567,3.7827623,-8.959292,1.2618159,0.052348405,-0.026067208,-0.0017342651,0.0131639615,-0.4421599,-0.4549767"
13,"14,-2.5258636,2.7584028,0.9338567,3.7827623,-8.959292,1.2618159,0.052348405,-0.026067208,-0.0017342651,0.0131639615,-0.4421599,-0.4549767"
14,"15,-2.5258636,2.7584028,0.9338567,3.7827623,-8.959292,1.2618159,0.052348405,-0.026067208,-0.0017342651,0.0131639615,-0.4421599,-0.4549767"
15,"16,-2.5258636,2.7584028,0.9338567,3.7916536,-8.952304,1.2845289,0.09258463,-0.047763087,-0.00082188623,0.18783894,-0.099279486,-0.34918123"
16,"17,-2.5258636,2.7584028,0.9338567,3.7916536,-8.952304,1.2845289,0.09258463,-0.047763087,-0.00082188623,0.18783894,-0.099279486,-0.34918123"
17,"18,-2.5258636,2.7584028,0.9338567,3.7916536,-8.952304,1.2845289,0.09258463,-0.047763087,-0.00082188623,0.18783894,-0.099279486,-0.34918123"
18,"19,-2.5258636,2.7584028,0.9338567,3.7916536,-8.952304,1.2845289,0.09258463,-0.047763087,-0.00082188623,0.18783894,-0.099279486,-0.34918123"
19,"20,-2.5258636,2.7584028,0.9338567,3.7916536,-8.952304,1.2845289,0.09258463,-0.047763087,-0.00082188623,0.18783894,-0.099279486,-0.34918123"
20,"21,-2.52035,2.759088,0.9802428,3.801769,-8.941917,1.3262932,0.11333939,-0.060884524,0.0033045788,0.08490175,-0.22073734,-0.02667346"
21,"22,-2.52035,2.759088,0.9802428,3.801769,-8.941917,1.3262932,0.11333939,-0.060884524,0.0033045788,0.08490175,-0.22073734,-0.02667346"
22,"23,-2.52035,2.759088,0.9802428,3.801769,-8.941917,1.3262932,0.11333939,-0.060884524,0.0033045788,0.08490175,-0.22073734,-0.02667346"
23,"24,-2.52035,2.759088,0.9802428,3.801769,-8.941917,1.3262932,0.11333939,-0.060884524,0.0033045788,0.08490175,-0.22073734,-0.02667346"
24,"25,-2.52035,2.759088,0.9802428,3.801769,-8.941917,1.3262932,0.11333939,-0.060884524,0.0033045788,0.08490175,-0.22073734,-0.02667346"
25,"26,-2.52035,2.759088,0.9802428,3.8310742,-8.926532,1.3454727,0.098141946,-0.0555412,0.0075215367,-0.030234585,-0.053210165,-0.0740179"
26,"27,-2.52035,2.759088,0.9802428,3.8310742,-8.926532,1.3454727,0.098141946,-0.0555412,0.0075215367,-0.030234585,-0.053210165,-0.0740179"
27,"28,-2.52035,2.759088,0.9802428,3.8310742,-8.926532,1.3454727,0.098141946,-0.0555412,0.0075215367,-0.030234585,-0.053210165,-0.0740179"
28,"29,-2.52035,2.759088,0.9802428,3.8310742,-8.926532,1.3454727,0.098141946,-0.0555412,0.0075215367,-0.030234585,-0.053210165,-0.0740179"
29,"30,-2.52035,2.759088,0.9802428,3.8310742,-8.926532,1.3454727,0.098141946,-0.0555412,0.0075215367,-0.030234585,-0.053210165,-0.0740179"
30,"31,-2.5049415,2.7548325,1.0272486,3.8798766,-8.907127,1.3341756,0.049488835,-0.031394564,0.008399848,-0.22636285,1.082657,-0.06589532"
31,"32,-2.5049415,2.7548325,1.0272486,3.8798766,-8.907127,1.3341756,0.049488835,-0.031394564,0.008399848,-0.22636285,1.082657,-0.06589532"
