,Gravity X,Gravity Y,Gravity Z,User Acceleration X,User Acceleration Y,User Acceleration Z
0,3.709582,-6.780594,6.0359697,-0.10753827,0.23485206,0.5935046
1,3.709582,-6.780594,6.0359697,-0.10753827,0.23485206,0.5935046
2,3.709582,-6.780594,6.0359697,-0.10753827,0.23485206,0.5935046
3,3.668019,-6.5918427,6.266071,-0.12446604,0.22236535,0.6355088
4,3.668019,-6.5918427,6.266071,-0.12446604,0.22236535,0.6355088
5,3.668019,-6.5918427,6.266071,-0.12446604,0.22236535,0.6355088
6,3.668019,-6.5918427,6.266071,-0.12446604,0.22236535,0.6355088
7,3.6415327,-6.4662957,6.4106655,-0.04857962,0.37281135,0.47208655
8,3.6415327,-6.4662957,6.4106655,-0.04857962,0.37281135,0.47208655
9,3.6415327,-6.4662957,6.4106655,-0.04857962,0.37281135,0.47208655
10,3.6415327,-6.4662957,6.4106655,-0.04857962,0.37281135,0.47208655
11,3.6468713,-6.3708463,6.50254,-0.02216537,0.3000499,0.23153754
12,3.6468713,-6.3708463,6.50254,-0.02216537,0.3000499,0.23153754
13,3.6468713,-6.3708463,6.50254,-0.02216537,0.3000499,0.23153754
14,3.6468713,-6.3708463,6.50254,-0.02216537,0.3000499,0.23153754
15,3.6496592,-6.3037944,6.566015,0.12406495,0.2917534,0.18285105
16,3.6496592,-6.3037944,6.566015,0.12406495,0.2917534,0.18285105
17,3.6496592,-6.3037944,6.566015,0.12406495,0.2917534,0.18285105
18,3.6496592,-6.3037944,6.566015,0.12406495,0.2917534,0.18285105
19,3.6496592,-6.3037944,6.566015,0.12406495,0.2917534,0.18285105
20,3.6535385,-6.2217083,6.641716,0.39585188,-0.36078554,0.45122072
21,3.6535385,-6.2217083,6.641716,0.39585188,-0.36078554,0.45122072
22,3.6535385,-6.2217083,6.641716,0.39585188,-0.36078554,0.45122072
23,3.6535385,-6.2217083,6.641716,0.39585188,-0.36078554,0.45122072
24,3.6535385,-6.2217083,6.641716,0.39585188,-0.36078554,0.45122072
25,3.6222544,-6.151824,6.723445,-0.16037048,0.6567345,-1.4504387
26,3.6222544,-6.151824,6.723445,-0.16037048,0.6567345,-1.4504387
27,3.6222544,-6.151824,6.723445,-0.16037048,0.6567345,-1.4504387
28,3.6222544,-6.151824,6.723445,-0.16037048,0.6567345,-1.4504387
29,3.6222544,-6.151824,6.723445,-0.16037048,0.6567345,-1.4504387
30,3.5359497,-6.0663524,6.8459344,-0.2248131,0.29984972,0.6750936
31,3.5359497,-6.0663524,6.8459344,-0.2248131,0.29984972,0.6750936
32,3.5359497,-6.0663524,6.8459344,-0.2248131,0.29984972,0.6750936
33,3.5359497,-6.0663524,6.8459344,-0.2248131,0.29984972,0.6750936
34,3.4556246,-5.95395,6.984235,-0.13879514,0.35474983,0.5037081
35,3.4556246,-5.95395,6.984235,-0.13879514,0.35474983,0.5037081
36,3.4556246,-5.95395,6.984235,-0.13879514,0.35474983,0.5037081
37,3.4556246,-5.95395,6.984235,-0.13879514,0.35474983,0.5037081
38,3.4556246,-5.95395,6.984235,-0.13879514,0.35474983,0.5037081
39,3.3786094,-5.876438,7.086808,-0.46001515,0.83807427,0.6357045
40,3.3786094,-5.876438,7.086808,-0.46001515,0.83807427,0.6357045
41,3.3786094,-5.876438,7.086808,-0.46001515,0.83807427,0.6357045
42,3.3786094,-5.876438,7.086808,-0.46001515,0.83807427,0.6357045
43,3.3786094,-5.876438,7.086808,-0.46001515,0.83807427,0.6357045
44,3.2860818,-5.814441,7.1808305,-0.4357672,0.42119908,0.39781502
45,3.2860818,-5.814441,7.1808305,-0.4357672,0.42119908,0.39781502
46,3.2860818,-5.814441,7.1808305,-0.4357672,0.42119908,0.39781502
47,3.2860818,-5.814441,7.1808305,-0.4357672,0.42119908,0.39781502
48,3.2860818,-5.814441,7.1808305,-0.4357672,0.42119908,0.39781502
49,3.1755018,-5.8030868,7.2395277,0.2660954,-0.306886,0.31203294
50,3.1755018,-5.8030868,7.2395277,0.2660954,-0.306886,0.31203294
51,3.1755018,-5.8030868,7.2395277,0.2660954,-0.306886,0.31203294
52,3.1755018,-5.8030868,7.2395277,0.2660954,-0.306886,0.31203294
53,3.1755018,-5.8030868,7.2395277,0.2660954,-0.306886,0.31203294
54,3.096723,-5.822307,7.2581983,-0.14121243,-0.0623476,-0.59737295
55,3.096723,-5.822307,7.2581983,-0.14121243,-0.0623476,-0.59737295
56,3.096723,-5.822307,7.2581983,-0.14121243,-0.0623476,-0.59737295
57,3.096723,-5.822307,7.2581983,-0.14121243,-0.0623476,-0.59737295
58,3.0684972,-5.8887057,7.2164993,-0.22169986,0.36774608,0.5015144
59,3.0684972,-5.8887057,7.2164993,-0.22169986,0.36774608,0.5015144
60,3.0684972,-5.8887057,7.2164993,-0.22169986,0.36774608,0.5015144
61,3.0684972,-5.8887057,7.2164993,-0.22169986,0.36774608,0.5015144
62,3.0684972,-5.8887057,7.2164993,-0.22169986,0.36774608,0.5015144
63,3.0691395,-6.004424,7.1202292,-0.12791644,0.2329454,0.55417955
64,3.0691395,-6.004424,7.1202292,-0.12791644,0.2329454,0.55417955
65,3.0691395,-6.004424,7.1202292,-0.12791644,0.2329454,0.55417955
66,3.0691395,-6.004424,7.1202292,-0.12791644,0.2329454,0.55417955
67,3.0691395,-6.004424,7.1202292,-0.12791644,0.2329454,0.55417955
68,3.0977657,-6.1397204,6.991286,-0.38565132,0.7072678,0.38532704
69,3.0977657,-6.1397204,6.991286,-0.38565132,0.7072678,0.38532704
70,3.0977657,-6.1397204,6.991286,-0.38565132,0.7072678,0.38532704
71,3.0977657,-6.1397204,6.991286,-0.38565132,0.7072678,0.38532704
72,3.0977657,-6.1397204,6.991286,-0.38565132,0.7072678,0.38532704
73,3.1723287,-6.3106613,6.8031073,-0.37072888,0.35499635,0.97042996
74,3.1723287,-6.3106613,6.8031073,-0.37072888,0.35499635,0.97042996
75,3.1723287,-6.3106613,6.8031073,-0.37072888,0.35499635,0.97042996
76,3.1723287,-6.3106613,6.8031073,-0.37072888,0.35499635,0.97042996
77,3.1723287,-6.3106613,6.8031073,-0.37072888,0.35499635,0.97042996
78,3.2806165,-6.4768534,6.592292,0.20164087,-0.22718091,0.40713346
79,3.2806165,-6.4768534,6.592292,0.20164087,-0.22718091,0.40713346
80,3.2806165,-6.4768534,6.592292,0.20164087,-0.22718091,0.40713346
81,3.2806165,-6.4768534,6.592292,0.20164087,-0.22718091,0.40713346
82,3.2806165,-6.4768534,6.592292,0.20164087,-0.22718091,0.40713346
83,3.3982146,-6.64116,6.365338,0.027168829,-0.1341041,-0.8431204
84,3.3982146,-6.64116,6.365338,0.027168829,-0.1341041,-0.8431204
85,3.3982146,-6.64116,6.365338,0.027168829,-0.1341041,-0.8431204
86,3.3982146,-6.64116,6.365338,0.027168829,-0.1341041,-0.8431204
87,3.3982146,-6.64116,6.365338,0.027168829,-0.1341041,-0.8431204
88,3.3982146,-6.64116,6.365338,0.027168829,-0.1341041,-0.8431204
89,3.5109549,-6.800018,6.132156,-0.30643547,0.30657727,0.49738878
90,3.5109549,-6.800018,6.132156,-0.30643547,0.30657727,0.49738878
91,3.5109549,-6.800018,6.132156,-0.30643547,0.30657727,0.49738878
92,3.5109549,-6.800018,6.132156,-0.30643547,0.30657727,0.49738878
93,3.5109549,-6.800018,6.132156,-0.30643547,0.30657727,0.49738878
94,3.6053488,-6.9552565,5.8988357,-0.01858819,0.15993817,0.320337
95,3.6053488,-6.9552565,5.8988357,-0.01858819,0.15993817,0.320337
96,3.6053488,-6.9552565,5.8988357,-0.01858819,0.15993817,0.320337
97,3.6053488,-6.9552565,5.8988357,-0.01858819,0.15993817,0.320337
98,3.6053488,-6.9552565,5.8988357,-0.01858819,0.15993817,0.320337
99,3.6053488,-6.9552565,5.8988357,-0.01858819,0.15993817,0.320337
100,3.6942682,-7.1067224,5.65838,-0.38439572,0.7492716,0.5559906
