,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
38,"39,-2.2675695,2.7952836,1.8714981,2.9461079,-1.2070245,9.275447,0.13782883,0.05680703,0.038944844,-0.040394496,0.68683267,0.7646013"
39,"40,-2.2697935,2.7910712,1.8667128,3.014416,-1.5848022,9.196308,0.14767443,0.033488672,0.04789404,-0.16034105,0.7474104,0.64768475"
40,"41,-2.2697935,2.7910712,1.8667128,3.014416,-1.5848022,9.196308,0.14767443,0.033488672,0.04789404,-0.16034105,0.7474104,0.64768475"
41,"42,-2.2697935,2.7910712,1.8667128,3.014416,-1.5848022,9.196308,0.14767443,0.033488672,0.04789404,-0.16034105,0.7474104,0.64768475"
42,"43,-2.2697935,2.7910712,1.8667128,3.014416,-1.5848022,9.196308,0.14767443,0.033488672,0.04789404,-0.16034105,0.7474104,0.64768475"
43,"44,-2.2697935,2.7910712,1.8667128,3.014416,-1.5848022,9.196308,0.14767443,0.033488672,0.04789404,-0.16034105,0.7474104,0.64768475"
44,"45,-2.2721841,2.7867136,1.8633139,3.0818748,-1.9921801,9.094155,0.11303598,0.041636202,0.023265129,-0.2876959,0.9992403,0.9535696"
45,"46,-2.2721841,2.7867136,1.8633139,3.0818748,-1.9921801,9.094155,0.11303598,0.041636202,0.023265129,-0.2876959,0.9992403,0.9535696"
46,"47,-2.2721841,2.7867136,1.8633139,3.0818748,-1.9921801,9.094155,0.11303598,0.041636202,0.023265129,-0.2876959,0.9992403,0.9535696"
47,"48,-2.2721841,2.7867136,1.8633139,3.0818748,-1.9921801,9.094155,0.11303598,0.041636202,0.023265129,-0.2876959,0.9992403,0.9535696"
48,"49,-2.273844,2.7811992,1.8615507,3.157808,-2.4211984,8.963059,0.062140774,0.06904483,-0.011089076,-0.21747693,0.87155175,0.56679875"
49,"50,-2.273844,2.7811992,1.8615507,3.157808,-2.4211984,8.963059,0.062140774,0.06904483,-0.011089076,-0.21747693,0.87155175,0.56679875"
50,"51,-2.273844,2.7811992,1.8615507,3.157808,-2.4211984,8.963059,0.062140774,0.06904483,-0.011089076,-0.21747693,0.87155175,0.56679875"
51,"52,-2.273844,2.7811992,1.8615507,3.157808,-2.4211984,8.963059,0.062140774,0.06904483,-0.011089076,-0.21747693,0.87155175,0.56679875"
52,"53,-2.273844,2.7811992,1.8615507,3.157808,-2.4211984,8.963059,0.062140774,0.06904483,-0.011089076,-0.21747693,0.87155175,0.56679875"
53,"54,-2.2731347,2.7725065,1.8601876,3.2662234,-2.836906,8.800803,0.03541244,0.081963986,-0.022987263,-0.014596539,0.3459429,0.68937135"
