,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,-2.5103967,2.7913992,2.3090637,3.5482628,-9.136314,0.32861817,-0.0016320617,-0.003978483,0.001826887,0.055643346,1.0353768,-1.3227886"
1,"2,-2.5103967,2.7913992,2.3090637,3.5482628,-9.136314,0.32861817,-0.0016320617,-0.003978483,0.001826887,0.055643346,1.0353768,-1.3227886"
2,"3,-2.5103967,2.7913992,2.3090637,3.5482628,-9.136314,0.32861817,-0.0016320617,-0.003978483,0.001826887,0.055643346,1.0353768,-1.3227886"
3,"4,-2.5165155,2.79566,1.9092443,3.533428,-9.140279,0.3749331,-0.00043862322,0.0032417662,0.0009890315,0.07121514,-0.13308446,-0.4990118"
4,"5,-2.5165155,2.79566,1.9092443,3.533428,-9.140279,0.3749331,-0.00043862322,0.0032417662,0.0009890315,0.07121514,-0.13308446,-0.4990118"
5,"6,-2.5165155,2.79566,1.9092443,3.533428,-9.140279,0.3749331,-0.00043862322,0.0032417662,0.0009890315,0.07121514,-0.13308446,-0.4990118"
6,"7,-2.5165155,2.79566,1.9092443,3.533428,-9.140279,0.3749331,-0.00043862322,0.0032417662,0.0009890315,0.07121514,-0.13308446,-0.4990118"
7,"8,-2.5185623,2.7969735,1.7260284,3.5196795,-9.14283,0.43692315,-0.00070264883,0.0023357752,0.00017033912,0.020026017,-0.1885014,-0.42094"
8,"9,-2.5185623,2.7969735,1.7260284,3.5196795,-9.14283,0.43692315,-0.00070264883,0.0023357752,0.00017033912,0.020026017,-0.1885014,-0.42094"
9,"10,-2.5185623,2.7969735,1.7260284,3.5196795,-9.14283,0.43692315,-0.00070264883,0.0023357752,0.00017033912,0.020026017,-0.1885014,-0.42094"
10,"11,-2.5185623,2.7969735,1.7260284,3.5196795,-9.14283,0.43692315,-0.00070264883,0.0023357752,0.00017033912,0.020026017,-0.1885014,-0.42094"
11,"12,-2.519939,2.797728,1.6092838,3.5116837,-9.14306,0.49288076,-0.00019056689,-0.0027456537,-0.004334066,0.075344086,-0.28126654,-0.13896325"
12,"13,-2.519939,2.797728,1.6092838,3.5116837,-9.14306,0.49288076,-0.00019056689,-0.0027456537,-0.004334066,0.075344086,-0.28126654,-0.13896325"
13,"14,-2.519939,2.797728,1.6092838,3.5116837,-9.14306,0.49288076,-0.00019056689,-0.0027456537,-0.004334066,0.075344086,-0.28126654,-0.13896325"
14,"15,-2.519939,2.797728,1.6092838,3.5116837,-9.14306,0.49288076,-0.00019056689,-0.0027456537,-0.004334066,0.075344086,-0.28126654,-0.13896325"
15,"16,-2.5215378,2.798479,1.5136935,3.5032806,-9.142433,0.5597699,0.0001256251,0.00061002694,-0.00425209,-0.09976925,0.22545987,0.3637792"
16,"17,-2.5215378,2.798479,1.5136935,3.5032806,-9.142433,0.5597699,0.0001256251,0.00061002694,-0.00425209,-0.09976925,0.22545987,0.3637792"
17,"18,-2.5215378,2.798479,1.5136935,3.5032806,-9.142433,0.5597699,0.0001256251,0.00061002694,-0.00425209,-0.09976925,0.22545987,0.3637792"
18,"19,-2.5215378,2.798479,1.5136935,3.5032806,-9.142433,0.5597699,0.0001256251,0.00061002694,-0.00425209,-0.09976925,0.22545987,0.3637792"
19,"20,-2.5215378,2.798479,1.5136935,3.5032806,-9.142433,0.5597699,0.0001256251,0.00061002694,-0.00425209,-0.09976925,0.22545987,0.3637792"
20,"21,-2.522505,2.798595,1.43781,3.5014088,-9.137845,0.6405423,-0.0035217612,0.004499082,-0.001513889,0.07673726,0.008228624,-0.2591187"
21,"22,-2.522505,2.798595,1.43781,3.5014088,-9.137845,0.6405423,-0.0035217612,0.004499082,-0.001513889,0.07673726,0.008228624,-0.2591187"
22,"23,-2.522505,2.798595,1.43781,3.5014088,-9.137845,0.6405423,-0.0035217612,0.004499082,-0.001513889,0.07673726,0.008228624,-0.2591187"
