,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
0,"1,-2.4619575,2.7575803,-1.6060241,3.9829888,-8.95762,-0.25931785,-0.003351422,0.0038198547,9.5815754e-05,-0.022558723,0.041243643,-0.023811104"
1,"2,-2.4619575,2.7575803,-1.6060241,3.9829888,-8.95762,-0.25931785,-0.003351422,0.0038198547,9.5815754e-05,-0.022558723,0.041243643,-0.023811104"
2,"3,-2.4619575,2.7575803,-1.6060241,3.9829888,-8.95762,-0.25931785,-0.003351422,0.0038198547,9.5815754e-05,-0.022558723,0.041243643,-0.023811104"
3,"4,-2.4619575,2.7575803,-1.6060241,3.9794836,-8.959398,-0.2515528,0.0011487245,0.004727975,-0.003063975,-0.05757213,0.032764398,0.0038267183"
4,"5,-2.4619575,2.7575803,-1.6060241,3.9794836,-8.959398,-0.2515528,0.0011487245,0.004727975,-0.003063975,-0.05757213,0.032764398,0.0038267183"
5,"6,-2.4619575,2.7575803,-1.6060241,3.9794836,-8.959398,-0.2515528,0.0011487245,0.004727975,-0.003063975,-0.05757213,0.032764398,0.0038267183"
6,"7,-2.4619575,2.7575803,-1.6060241,3.9794836,-8.959398,-0.2515528,0.0011487245,0.004727975,-0.003063975,-0.05757213,0.032764398,0.0038267183"
7,"8,-2.4619575,2.7575803,-1.6060241,3.978461,-8.960107,-0.24236968,0.003693165,0.0026136409,-0.0024975974,-0.020579703,0.054169185,-0.059668258"
8,"9,-2.4619575,2.7575803,-1.6060241,3.978461,-8.960107,-0.24236968,0.003693165,0.0026136409,-0.0024975974,-0.020579703,0.054169185,-0.059668258"
9,"10,-2.4619575,2.7575803,-1.6060241,3.978461,-8.960107,-0.24236968,0.003693165,0.0026136409,-0.0024975974,-0.020579703,0.054169185,-0.059668258"
10,"11,-2.4619575,2.7575803,-1.6060241,3.978461,-8.960107,-0.24236968,0.003693165,0.0026136409,-0.0024975974,-0.020579703,0.054169185,-0.059668258"
11,"12,-2.458766,2.755357,-1.5498835,3.9879537,-8.956677,-0.21107213,0.004468208,-0.0034280748,-0.0013371621,-0.010826002,-0.079712585,-0.11895649"
12,"13,-2.458766,2.755357,-1.5498835,3.9879537,-8.956677,-0.21107213,0.004468208,-0.0034280748,-0.0013371621,-0.010826002,-0.079712585,-0.11895649"
13,"14,-2.458766,2.755357,-1.5498835,3.9879537,-8.956677,-0.21107213,0.004468208,-0.0034280748,-0.0013371621,-0.010826002,-0.079712585,-0.11895649"
14,"15,-2.458766,2.755357,-1.5498835,3.9879537,-8.956677,-0.21107213,0.004468208,-0.0034280748,-0.0013371621,-0.010826002,-0.079712585,-0.11895649"
15,"16,-2.458766,2.755357,-1.5498835,3.9899228,-8.9568205,-0.1621276,-0.0015468921,-0.0024741758,0.0035217612,0.06552053,-0.2320188,0.4844607"
16,"17,-2.458766,2.755357,-1.5498835,3.9899228,-8.9568205,-0.1621276,-0.0015468921,-0.0024741758,0.0035217612,0.06552053,-0.2320188,0.4844607"
17,"18,-2.458766,2.755357,-1.5498835,3.9899228,-8.9568205,-0.1621276,-0.0015468921,-0.0024741758,0.0035217612,0.06552053,-0.2320188,0.4844607"
18,"19,-2.458766,2.755357,-1.5498835,3.9899228,-8.9568205,-0.1621276,-0.0015468921,-0.0024741758,0.0035217612,0.06552053,-0.2320188,0.4844607"
19,"20,-2.458766,2.755357,-1.5498835,3.9899228,-8.9568205,-0.1621276,-0.0015468921,-0.0024741758,0.0035217612,0.06552053,-0.2320188,0.4844607"
